Doctor ID,Doctor Name,Specialty,Phone Number,Years Of Experience,Hospital Affiliation,Hospital/Clinic,Specialization,Email
93720,Jose Robinson,Pediatrics,096.682.0197x26591,38,Perry Ltd,"Long, Dean and Cardenas",General Medicine,pcampbell@marsh.info
79468,Eduardo Cooper,Orthopedics,001-671-254-8261x34250,25,"Williamson, Brandt and Brown",Fritz-Owen,Orthopedics,ian00@watkins.com
24040,Patricia Perkins,Cardiology,(767)153-5898x592,38,"Murphy, Hayden and Rodriguez",Harrington PLC,General Medicine,gomezlisa@rogers.com
62842,Thomas Black,Cardiology,344-712-2666x542,4,Knight-Jimenez,Jones and Sons,Cardiology,edwardsmichelle@russell-moore.com
91709,Jeffrey Wu,General Medicine,060.240.4956x889,1,Miller Inc,Morgan-Sullivan,Neurology,heather14@hancock.biz
64685,Chad Crawford,General Medicine,(264)895-9802,5,Bradley-Brown,Allen Ltd,Orthopedics,scott19@gmail.com
68204,Justin Pena,Cardiology,939.186.9220,22,Ferguson and Sons,"Jackson, Foley and Johnson",Pediatrics,travis64@yahoo.com
7597,Albert Gutierrez,General Medicine,(951)543-6174x3625,8,"Petersen, Evans and Miles",Martin and Sons,Cardiology,paigebyrd@hotmail.com
73106,Joshua Shah,Cardiology,001-352-971-2707x972,6,Hampton-Peterson,Roberts-Hensley,Cardiology,matthew80@smith.com
66730,Miguel Richmond,Cardiology,442-992-2500,15,"Wolfe, Henry and Wright","Smith, Cortez and Hughes",General Medicine,aharris@johnston.com
188,Andrea Strong,Cardiology,001-693-784-7890x52006,13,Higgins PLC,Carter-Williamson,Pediatrics,ajones@gmail.com
44856,Ralph Walker,General Medicine,(172)606-7881,12,"Henry, Smith and Stanton",Nielsen-Donovan,Orthopedics,uhorton@estes.info
41619,Teresa Boyer,Pediatrics,(183)523-8046x1229,7,Reynolds-Black,"Stephenson, Hernandez and Valencia",Orthopedics,davilaryan@hotmail.com
95326,Karl Miller,Neurology,001-926-487-4229x21713,27,Sloan Inc,Christian-Shannon,Pediatrics,sandra87@goodman.biz
436,Lisa Reynolds,Cardiology,(957)709-6194x95436,1,"Garcia, Clark and King",Taylor Group,Pediatrics,josekelley@yahoo.com
39208,Rachel Haynes,Cardiology,(705)308-3912,23,"Martinez, Vaughn and Lewis","Johnson, Ortiz and Graham",Pediatrics,hollygraham@rogers.com
35654,Michael Robertson,General Medicine,230-490-4698x05499,37,Rodriguez PLC,"Reed, Stone and Perez",Pediatrics,brandon86@hotmail.com
90620,Anthony Morrow,Orthopedics,+1-636-530-0154x8364,19,Graves-Salas,"Fowler, Green and Schwartz",Neurology,dalejohnson@gmail.com
61915,Autumn Smith,General Medicine,(724)378-4133,32,Gonzalez Inc,Ray LLC,Cardiology,johnkaiser@hendrix.com
72971,Michael Hunt,General Medicine,741.181.6023x174,19,"Hernandez, Scott and Solis",Mcdonald-Lopez,Orthopedics,amystephens@ruiz-smith.com
2038,William Miller,Pediatrics,(801)541-0614,17,Ramirez-Williams,Thompson Inc,Orthopedics,brian27@ramirez.com
32268,Zachary Patel,Pediatrics,+1-914-995-0845,26,Hale-Jones,Sandoval-Smith,Neurology,caldwelldaniel@diaz.biz
6817,Roger Hall,Cardiology,001-265-976-2169x22035,29,Gardner Group,White-White,Cardiology,fobrien@russell.org
8047,Melissa Munoz,Cardiology,977-669-3498,27,Hopkins and Sons,Larson-Johnson,Orthopedics,alansmall@gmail.com
46486,Jeffrey Hall,Pediatrics,+1-430-103-8141,37,Adkins Ltd,Serrano Ltd,Orthopedics,bartonjohn@gmail.com
9611,Raven Hale,Neurology,515.669.2567x2674,30,Cruz and Sons,"Johnson, Padilla and Stevens",General Medicine,smueller@yahoo.com
88912,Andrew Barker,Pediatrics,+1-533-609-5192x70939,15,Chavez-Campbell,"Brooks, Peterson and Boyd",Neurology,michaelbecker@scott.biz
56854,Ashley Floyd,Cardiology,230-517-2298,12,Morgan and Sons,"Maynard, Berry and Ochoa",Neurology,anthonyanthony@wilson.net
78105,Matthew Dunn,Cardiology,(775)619-7487x4180,8,Molina Inc,Saunders PLC,Orthopedics,iterrell@hotmail.com
49411,Shannon Kennedy,Neurology,001-185-423-9329x329,3,Cisneros Group,"Kane, Townsend and Martin",General Medicine,nsingleton@hernandez.biz
10798,Jessica White,Pediatrics,1639288288,4,"Joyce, Johnson and Raymond",Fowler Inc,Orthopedics,garymarsh@hotmail.com
8709,Erica Warner,Pediatrics,(228)730-1819x511,9,Parker Group,"Harris, Robinson and Thomas",Neurology,cmacias@norton.net
52714,Abigail Gregory,Orthopedics,+1-115-999-8584,31,"Reyes, Greene and Washington",Perez-Duncan,Neurology,bradley87@hotmail.com
55574,Elizabeth Edwards MD,Cardiology,975.039.5650x0891,19,Barton LLC,"Armstrong, Nunez and Cook",General Medicine,jamesberry@yahoo.com
99691,Darren Jordan,Pediatrics,(712)795-1375x148,31,"Weber, Arroyo and Kemp","Mitchell, Olson and Carter",Pediatrics,tiffanytaylor@gmail.com
51660,Chloe Miller,Orthopedics,+1-365-226-0084x80678,21,Johnson-Bell,Padilla-Lynch,Pediatrics,hudsonbarbara@lyons.com
89542,Ariel Rivera PhD,Cardiology,403-251-4310x61742,2,Leon-Yang,Johnson-Jones,Neurology,mendozawilliam@hotmail.com
35218,Elizabeth Clay,Orthopedics,7651113569,6,Marks-Clayton,Fields-Torres,General Medicine,johndavis@hotmail.com
62085,Terry Johnson,General Medicine,(016)152-3807x1060,32,Sutton and Sons,West LLC,General Medicine,ricky99@snyder.com
20273,Rebecca Garrett,Pediatrics,001-828-856-1795x2979,8,Harvey-Vega,Lin Ltd,General Medicine,jason61@hayes-hill.com
33230,Donna Morrison,Cardiology,+1-657-140-5461,35,Kelly Inc,Coleman-Scott,Neurology,marksandoval@yahoo.com
88164,Michael Ruiz,Cardiology,762.567.4062x0226,26,Parker Ltd,"White, Nguyen and Hays",Cardiology,samanthamichael@chandler-larson.com
46163,Vicki Foster,General Medicine,426-715-0205x82465,5,"Parker, Ball and Fry",Everett-Keller,General Medicine,jimmy74@baker.com
73187,Alejandro Schroeder,Cardiology,766.120.7433x643,30,Wyatt Ltd,"Miller, Tyler and Rivas",Cardiology,mariarose@gmail.com
6446,Deborah Jackson,General Medicine,001-234-045-1396x705,10,Andrews LLC,Mcpherson-Dillon,Pediatrics,starkdaniel@gmail.com
85341,Joseph Hancock,Pediatrics,5549347444,6,Keller Group,"Lambert, Watts and Soto",Orthopedics,hvaldez@rogers.info
56200,Matthew Wise,Cardiology,001-072-693-6121x76147,27,Pitts PLC,Tran Group,Neurology,shawn22@yahoo.com
15007,Barbara Miller,Orthopedics,375-696-5220x9335,25,Johnson LLC,Meyer-Griffith,Cardiology,david37@gmail.com
73297,Elizabeth Mathews,Orthopedics,732.319.8204,5,"Young, Turner and Nixon",Hahn and Sons,Neurology,anthony67@gmail.com
89137,Sarah Thompson,General Medicine,(105)628-0073,27,"Parker, Ferguson and Allen",Contreras-Norman,General Medicine,ymartin@dillon.com
65399,Paul Yang,Cardiology,135-788-4306x6162,36,Gibson-Duncan,"Holder, Cochran and Long",Neurology,amberodonnell@yahoo.com
43892,Charles Gutierrez,General Medicine,290-789-9280,18,"Jimenez, Mcconnell and Barrett",Salazar Inc,Pediatrics,xhorne@gmail.com
14573,Laura Miller,Cardiology,+1-344-534-6641,19,Middleton-Thomas,"Hill, Pham and Murphy",Neurology,hallkatelyn@yahoo.com
34322,Martha Garrett,Neurology,003.257.2842,6,Bennett PLC,"Long, Sullivan and Adams",Pediatrics,davisyesenia@yahoo.com
46762,Matthew Robertson,Neurology,4022232043,8,Randall-Hunt,"Hahn, Garcia and Green",Neurology,hunterjacob@hotmail.com
68114,James Garrett,Cardiology,307.706.2576x9147,35,Erickson PLC,Fitzpatrick Inc,Cardiology,tyler78@yahoo.com
90136,Amber Hicks,General Medicine,(355)291-6003,3,King LLC,"Miller, Moore and Molina",Cardiology,sabrinahenry@gmail.com
51965,Kristen Kline,Cardiology,(634)078-0676x54169,14,"Barber, Harrington and Powell",Foster Group,Orthopedics,rebecca41@fuller.com
99655,Kathy Cruz,Pediatrics,010-043-6424,34,Collins Group,Robles-Pearson,Cardiology,walkercharles@santos.com
88985,Eric Martin,Cardiology,028.231.9733x60034,28,Parker-Jimenez,Powell Group,Cardiology,dawn25@hotmail.com
45369,Anthony Armstrong,Cardiology,001-973-659-5439x719,29,Gonzalez-Lam,Perez PLC,Neurology,matthewconrad@yahoo.com
95286,Jon Lewis,Cardiology,3712317826,26,Mills-Kelley,Clark Inc,Neurology,mccalljohn@smith.com
58025,Jeffery Manning,Orthopedics,001-604-217-1403,36,Ross-White,Mcintosh-Lane,Orthopedics,christinejones@romero-bryant.com
71802,Matthew Frank,Orthopedics,+1-089-165-7695x842,33,"Thompson, Watson and Craig",West-Khan,Pediatrics,carlos98@yahoo.com
24338,James Williams,Orthopedics,001-811-414-0574x0263,34,Calhoun Group,Barnes and Sons,Cardiology,whitakerkevin@martin-roberts.info
59564,Linda Torres,General Medicine,212-749-3059,22,"Williams, Murphy and Gomez",Williams Ltd,Pediatrics,xmartinez@hartman.org
18582,Nicholas Sanders,Cardiology,001-254-519-1890x4906,39,Richardson Inc,Hogan LLC,Cardiology,rachelmaldonado@thomas-newman.info
83789,Laura Williams,Orthopedics,3045040564,25,Benson Ltd,Mendez-Johnson,Pediatrics,ericsummers@rosales-estrada.info
41670,Clinton Cervantes,Orthopedics,(403)073-0933,23,Williams Group,Hall and Sons,Pediatrics,woodsdillon@yahoo.com
35900,Diana Robinson,Cardiology,+1-140-792-5494x7630,5,"Pittman, Jarvis and Glenn",Howard Group,Orthopedics,uellison@yahoo.com
42000,Natalie Garza,Pediatrics,(815)048-5831,29,Howard Inc,"Garcia, Jensen and Villa",Cardiology,qjohnson@yahoo.com
533,Alyssa Roberts MD,Neurology,001-726-246-4304x91671,38,Zuniga LLC,Watson PLC,Neurology,grahamnathaniel@phillips.info
14436,Matthew Phillips,Orthopedics,1663195540,6,Norman LLC,Dawson-Manning,Orthopedics,laurarodriguez@hotmail.com
43862,Austin Williams,Cardiology,001-759-943-9375x4483,35,Lee Group,Brown-Snyder,Cardiology,laraapril@yahoo.com
89177,Joy Stone,Pediatrics,(848)076-6524x909,39,Carter-Barnes,"Nguyen, Foster and Mejia",Orthopedics,harrisonjacqueline@yahoo.com
10698,Dr. Carlos Pacheco,General Medicine,+1-585-790-4125x2812,2,Harris-Dyer,"Clarke, Black and West",General Medicine,brianmyers@yahoo.com
33948,Joann Wilson,Neurology,042.280.2640x37537,29,"Arnold, Baker and Johnson",Sanford-Vega,Cardiology,christian50@taylor-douglas.net
45499,Stephanie Vasquez,Orthopedics,734.181.6343x53672,25,Mercer and Sons,Wallace-Ali,Neurology,natalieharrison@gmail.com
63197,Brian Mcknight,Pediatrics,(395)767-3932,19,Francis-Tran,Brown-Morris,General Medicine,michaelnewton@gmail.com
41231,Corey Harmon,Orthopedics,+1-947-379-6926x68575,27,"Wood, Harris and Henry",George-Keith,General Medicine,sloanjennifer@hotmail.com
23806,Anita Hines,Pediatrics,+1-601-838-2963x66280,12,"Horn, Lewis and Ruiz",Nunez PLC,Orthopedics,jerry81@hotmail.com
36486,Kevin Johnson,General Medicine,433.082.2790,32,Coleman LLC,"Howell, Smith and Schneider",Pediatrics,jharrison@hotmail.com
11497,Terry Avila,Pediatrics,847.684.9019x42690,33,Brown and Sons,Edwards-Jones,Cardiology,eross@gmail.com
68611,Stephen Clarke,Cardiology,1107152944,35,"Delgado, Diaz and Townsend","Martin, Kline and Butler",General Medicine,simskerri@wood-lambert.com
45097,Kristin Meyers,General Medicine,(332)191-2826x958,19,"Blevins, Gibson and Sellers",Anderson Ltd,Pediatrics,yolanda46@hotmail.com
30381,Vincent Pacheco,General Medicine,(798)132-7982,13,Bell-Davis,"Baker, Hernandez and Spencer",Orthopedics,vdavis@davis.com
36973,Brandon Washington,Orthopedics,4689103170,27,"Price, Chambers and Mcdonald",Griffin Group,Cardiology,fperez@short.info
4105,Daniel Wilson,Cardiology,+1-903-049-0765x618,39,Shepherd Inc,"Osborn, Ball and Thomas",Pediatrics,robert12@baird.com
23578,Mrs. Cynthia Walsh,Cardiology,973.323.1725x3266,11,"Bryan, Jensen and Edwards","Green, Schwartz and Holloway",Pediatrics,tjohnson@wilkins.com
2978,Sara Gardner,General Medicine,863.668.1126,19,Sanders-Holland,Zimmerman and Sons,Neurology,pwilliams@gmail.com
94564,Angela Carlson,Neurology,+1-687-704-1283x1834,25,Joseph-Clark,Washington Group,Neurology,vreese@peters.org
56574,Jennifer Sherman,Orthopedics,589-589-3739x9235,8,Smith PLC,Dixon-Hanson,Cardiology,johnhudson@yahoo.com
14351,Margaret Lewis,General Medicine,001-462-610-8131x540,2,Johnson-Johnson,Bailey-Fowler,General Medicine,dominicschmidt@ramos.com
10330,Samantha Hamilton,Orthopedics,380.789.0639,31,Cunningham Group,Wilson Ltd,Orthopedics,shellyfox@hotmail.com
71249,Shawn Harrell,Cardiology,(268)460-5288x5256,37,Ward Ltd,Fritz-Smith,Cardiology,rogerstheresa@yahoo.com
27369,Angela Lee,General Medicine,922.109.4583,32,Zuniga-Monroe,Chaney-Bauer,General Medicine,antonioreyes@hotmail.com
6456,Karen George,Pediatrics,001-643-550-5189x581,3,Donaldson and Sons,Zuniga Group,Cardiology,jessicagarcia@gmail.com
39769,Travis Wallace,Orthopedics,+1-733-826-1863x5351,29,Barr and Sons,"Smith, Ferguson and Gonzalez",Cardiology,stevenchavez@hotmail.com
58279,Matthew Morris,Neurology,+1-353-118-6677x807,31,Zhang and Sons,Patel PLC,Neurology,mallory93@lopez-wilkinson.com
68432,Linda Harmon,Cardiology,001-670-161-2555,16,Cunningham Inc,Benjamin LLC,Neurology,taylordanny@gmail.com
647,Sarah Barnes,Pediatrics,228.630.8020x8370,28,"Butler, Fitzgerald and Sandoval",Mcintosh-Arnold,General Medicine,matthewsjoseph@gmail.com
46523,Nicole Jackson,Neurology,+1-748-529-0601x035,37,"Mendoza, Mitchell and Johnson",Simmons LLC,Cardiology,hobbswesley@gmail.com
33867,Nancy Madden,Pediatrics,(817)935-2518x9653,25,Fernandez-Green,"Bradley, Krause and Anderson",Orthopedics,alexandria38@hotmail.com
37642,Alexandra Burke DVM,Orthopedics,040.809.3311,35,Ramos LLC,Castro PLC,Pediatrics,charlesfritz@hotmail.com
57049,Sarah Acosta,General Medicine,970-607-5066x1118,18,"Humphrey, Bradley and Cooper","Dixon, Ortiz and Moore",Orthopedics,chad75@gmail.com
73034,Matthew Cruz,Cardiology,578.608.9632,39,Donaldson-Ramirez,"Winters, Skinner and Jones",Orthopedics,brian97@anderson.info
4795,Joshua Carter,Cardiology,(653)358-4827,3,Nichols LLC,Briggs and Sons,General Medicine,bbaxter@hotmail.com
38225,Emily Ramirez,Pediatrics,340-159-3042,22,"Silva, Mcclain and Heath","Wilson, Schneider and Webb",Orthopedics,kimberly02@yahoo.com
21144,Angel Herrera,Cardiology,+1-983-614-9862x64626,18,Perez LLC,"Winters, Rodriguez and Brown",Orthopedics,crystalpatel@gmail.com
19158,Brent Hunter,Cardiology,(205)404-6369x95244,27,Lopez-Burke,Diaz PLC,Cardiology,brenda24@burgess.biz
83010,James Larson,Orthopedics,+1-066-127-9162,15,Atkinson PLC,"Jackson, Estrada and Rowe",Pediatrics,stonejohn@gmail.com
78223,Mr. Gabriel Ramsey PhD,Cardiology,197.826.9794x9281,3,Williams PLC,Owen and Sons,Cardiology,trobbins@yahoo.com
73564,Megan Conley,Orthopedics,+1-106-670-5376,28,Sullivan Ltd,"Hanson, Adams and Jones",Cardiology,simpsonbrian@howard.com
64267,Ashley Golden,Neurology,351-263-3985x087,3,"Miller, Miller and Walker",Brown-Williams,General Medicine,doylelauren@perry.org
31324,Joel Pineda,Cardiology,505-990-0802x76404,38,"Grimes, Hess and Thomas",Mendoza-Coleman,Cardiology,emily02@hotmail.com
92820,Beth Savage,Pediatrics,130.015.1747,16,Smith-Cooper,Miller PLC,Orthopedics,nielsensamantha@ramirez-lawson.net
65934,Bryce Coleman,Neurology,001-207-074-3053x272,39,Kennedy-Boyer,"Wells, Gutierrez and Benitez",Cardiology,mclark@li-rios.com
45048,James Randall,Orthopedics,(641)530-2390x905,31,"Mcbride, Roach and Chung",Cross Inc,Neurology,bjohnson@gmail.com
86634,Charlotte Dyer,Cardiology,001-602-560-8683x3985,10,"Ramirez, Hansen and Jones",Ingram-Gomez,General Medicine,greggevans@hotmail.com
90187,Amy Wagner,General Medicine,9209082342,19,Carter-Bowers,Randall and Sons,Orthopedics,phillipsbrett@gmail.com
29083,John Evans,Cardiology,794.978.0493x56877,30,Fitzgerald-Thompson,"Robertson, Mitchell and Adams",Neurology,nmiller@yahoo.com
89626,Frank Carter,Pediatrics,7078625733,15,Hall Inc,"Woods, Young and Tate",Pediatrics,grayamanda@hotmail.com
28967,Denise Carrillo,General Medicine,(642)115-9455x9663,11,Williams PLC,Woods and Sons,Pediatrics,jeffreymays@yahoo.com
27624,Jeremy Tyler,Neurology,8545765567,15,"Ramirez, Gardner and Ramirez",Graves-Harding,Pediatrics,ddixon@chambers-acosta.org
38272,Patricia Nichols,Orthopedics,(974)088-0084,2,Vasquez Group,"Welch, Keller and Cook",Neurology,greendavid@hotmail.com
55226,Ashley May,Cardiology,001-550-180-6337x697,32,Reyes-Cowan,Roberts Inc,Cardiology,parsonssarah@molina.biz
69333,Whitney Schultz,Pediatrics,(205)529-1822x50230,9,"Jackson, Fletcher and Buckley",Perkins LLC,General Medicine,stephanie23@hotmail.com
95396,Charles Reynolds,Cardiology,311.191.9428,19,Scott-Lane,"Richardson, Peters and Hanson",General Medicine,taylorboyd@reed.biz
90289,Dustin Diaz,Cardiology,938-303-1563,31,Cherry-Higgins,Cantrell LLC,Cardiology,cassandrachen@gmail.com
24998,Alexander Williams,General Medicine,256-620-1927x035,13,Jordan Inc,"Thompson, Bowen and Mcdaniel",Orthopedics,bradleyflores@garza.com
42200,Rhonda Ramirez,Pediatrics,(815)235-0787x821,37,"Washington, Kim and Reeves",Mendoza LLC,General Medicine,pdavila@gmail.com
95979,Kathryn Mahoney,General Medicine,(079)155-2957x50240,11,Williams PLC,Fuentes-Porter,Neurology,russopaul@velasquez.biz
92451,Stephen Rowe,Cardiology,+1-186-922-5522x90699,10,Williams PLC,Young and Sons,Neurology,mhowe@gmail.com
21711,Richard Martin,Cardiology,533.323.7112x152,13,"Edwards, Dougherty and Ward",Martinez-Rose,Pediatrics,yjohnson@yahoo.com
71232,Joy Baker,Cardiology,+1-616-173-5404x9652,4,Green and Sons,Lee PLC,Neurology,ymurphy@hotmail.com
54143,Jessica Garcia,General Medicine,+1-377-446-5457,18,Nguyen-Keller,Rogers-Caldwell,Orthopedics,greenemichelle@matthews.com
43207,Lisa Smith,Pediatrics,949.825.2430x323,16,Riley LLC,Davis-Jones,Orthopedics,mcclainshawn@bishop-smith.com
36731,April Jones,Pediatrics,001-401-645-9907x38720,33,Hall LLC,"Bradley, Weber and Thomas",Pediatrics,holly00@ramos.net
29415,Samuel Wilson,Pediatrics,(282)739-7603x32026,23,"Walker, Lewis and King",Webster-Wright,Pediatrics,tammygreen@gmail.com
27743,Wayne Butler,Orthopedics,(168)910-0133,26,"Dalton, Palmer and Scott",Atkins-Allen,Pediatrics,marcuscruz@hotmail.com
56465,April Stewart,Cardiology,319-726-2022x1046,26,"Thomas, Hernandez and Wilson",Fleming Group,Pediatrics,martinezmatthew@hotmail.com
98620,Charles Huynh,Pediatrics,+1-558-650-1602x33501,1,"Weaver, Marquez and Sharp",Tucker Group,Cardiology,monicalopez@ross.com
92647,Alexis Hill,Pediatrics,9550371046,23,Barker PLC,"Galvan, Sharp and Alexander",Cardiology,hartmanrichard@hotmail.com
11682,Robert Mitchell,Orthopedics,206.699.1766,29,"Johnson, Thomas and Merritt","Suarez, Jacobs and Wade",General Medicine,floresamy@larson-jones.org
73525,Ashley Foster,Pediatrics,626.203.0750x6904,38,"Baker, Estrada and Moore",Lynn Group,Orthopedics,martinstacy@larsen.com
54739,David Nguyen,General Medicine,(954)656-8143x545,22,Hancock-Jones,Walker Ltd,Cardiology,michelleblack@hotmail.com
4300,Nicholas Wolf,Orthopedics,522.960.0546x12697,35,Nelson-Burke,Gill Ltd,Neurology,qjenkins@hotmail.com
99386,Michelle Walton,Cardiology,614.531.0803,5,Parker-Williams,Welch Inc,Orthopedics,zstuart@taylor.biz
18956,Lori Osborne,Neurology,+1-568-580-9671x22124,2,"Chang, Cunningham and Jackson",Robertson PLC,Cardiology,ncombs@gmail.com
97852,Chelsea Shelton,General Medicine,001-928-002-3448x71147,39,Wilson-Escobar,Suarez-Martinez,Neurology,itodd@mcdonald.biz
39819,Sharon Gardner,Cardiology,211-589-4627,24,"Merritt, Alvarez and Bennett",Clark PLC,Cardiology,millertammy@randall.com
24348,Chad Smith,Pediatrics,+1-866-054-7889x775,3,Vance Group,Ochoa LLC,General Medicine,brookslisa@powers-jackson.com
46817,Angelica Davila,Cardiology,623-161-0488x322,18,"Williams, Ross and Adams",Ross-Delgado,Neurology,mcgeetricia@fox-riley.com
52699,William Huerta,General Medicine,+1-402-002-7800x534,4,Douglas PLC,"Jones, Baker and Parrish",Orthopedics,williambowen@williams.net
83686,Sandra Johnson,Neurology,466.639.6490,1,"Hart, Jones and Bradshaw","Clark, Martinez and Moore",Orthopedics,solisashley@hotmail.com
33471,Christopher Kramer,Pediatrics,(746)647-0567,27,Hill LLC,"Morgan, Moore and Hamilton",Neurology,prodgers@gmail.com
87282,Garrett Bryant,Cardiology,+1-448-309-9042x9701,37,Mayer-Moore,Taylor LLC,Orthopedics,dharris@bartlett-farmer.info
94069,John Barr,Orthopedics,001-612-423-0753x157,30,"Sullivan, Vargas and Lee",Miller-Spencer,Neurology,foconnor@vazquez.com
25655,Dr. Barbara Krause,Orthopedics,719.808.2647x756,6,Kelly-Singh,Dickerson-Jenkins,Cardiology,tneal@gmail.com
38191,Breanna Hickman,Pediatrics,001-648-899-5212,15,Ramos-Allen,"Bennett, Morgan and Webb",General Medicine,kbrennan@gmail.com
60181,Matthew Burke,Orthopedics,+1-687-859-7262x5918,37,"Nichols, Hicks and Smith",Hayes Ltd,General Medicine,whitejill@sanders-leblanc.biz
71612,Casey Davidson,General Medicine,072-175-7008x65490,14,Glenn-Wilson,Jenkins-Bennett,General Medicine,peverett@hotmail.com
99703,Stephen Hall,General Medicine,375.503.6896x581,33,Roberson Group,"Adams, Stephenson and Carson",Neurology,hollyfisher@hotmail.com
56589,Nicholas Haas,Neurology,7077213578,38,Wade Inc,"Cummings, Dalton and Brown",Cardiology,leejennifer@choi.net
59752,Melissa Williams DVM,Cardiology,+1-527-449-6634,13,Adams-Garner,Smith Ltd,Neurology,francisquinn@olson-garcia.com
3687,Cody Bailey,Neurology,(383)055-3613x447,26,Romero-Brown,Jordan-Stevens,Neurology,grace09@kim-foster.com
52989,John Willis,Pediatrics,(569)140-0382x0152,22,"Blake, Cunningham and Bass",Sanchez and Sons,Neurology,cody66@yahoo.com
7213,Michelle Morrow,Neurology,6308930573,35,"Mayer, Briggs and Butler",Gates Group,Orthopedics,hcalderon@hotmail.com
42625,Manuel Bell,Pediatrics,044-960-3287x952,10,"Taylor, Smith and Morgan",Gonzalez PLC,Pediatrics,carterandrea@yahoo.com
67314,Jennifer Brown,Pediatrics,406.735.1579,29,"Wilson, Adkins and Reed",Barry-Smith,Orthopedics,kenneth07@hayden.org
72468,Jesus Hunt,Orthopedics,3750345376,14,"Liu, Vaughn and Reid",Hernandez-Mullins,Orthopedics,jgriffin@bell-sellers.com
93393,Alex Castillo,Cardiology,+1-014-711-4436,28,"Macdonald, Carroll and Moran",Carter-Herrera,General Medicine,cookealexis@ray-perez.org
86241,Connie Taylor,General Medicine,577-894-7880x054,21,Guzman-Frank,Erickson PLC,Pediatrics,nparks@gmail.com
23682,Nicole Garcia,Orthopedics,803.462.4045,26,Sanders-Robinson,Thompson-Kaufman,Cardiology,fwaters@yahoo.com
4666,Gail Riley,Pediatrics,049.314.9612,6,Norton-Foster,Merritt-Williamson,Neurology,lambertleonard@hotmail.com
72569,Melanie Vega,Pediatrics,407.091.2397x595,3,Thompson Group,Mitchell Group,Neurology,justin18@gmail.com
99841,Charles Preston,Orthopedics,+1-627-048-7779x235,31,Martin Inc,"Kirk, Smith and Hill",Orthopedics,millsmichael@williams-moody.biz
57354,Alejandra Ware,Neurology,794.308.0471,20,"Dixon, Jensen and Carpenter","Mason, Woodward and Merritt",Pediatrics,thomasvelez@blackwell-gomez.com
7135,Richard Brown,Cardiology,(174)955-6726x28199,33,"Lopez, Alvarez and Ortiz","Jordan, Jackson and Nelson",Pediatrics,adamsashley@yahoo.com
56296,Melissa Davis,General Medicine,+1-522-506-6525x752,1,"Chambers, Williams and Rodriguez",Wagner-Franklin,Pediatrics,william86@morris.com
76058,Elizabeth Collier DDS,General Medicine,463.291.0993x400,3,Green PLC,Garcia Inc,Pediatrics,montgomerydanny@hotmail.com
61729,Miranda Meza,Neurology,(820)808-7602x419,34,Baker LLC,"Anderson, Anderson and Bell",General Medicine,jesse61@bonilla.com
33159,Alan Wood,Orthopedics,(102)965-2685,30,"Knapp, Williams and Diaz","Walker, Chung and Taylor",Orthopedics,evanevans@davidson.com
21064,Theresa Miller,Pediatrics,005.088.1421x06778,18,Bennett Group,"Brown, Holloway and King",Pediatrics,todd34@yahoo.com
95217,Erica Romero,Neurology,187.650.5232x33859,27,Montoya-Perez,"Jacobs, Ryan and Cruz",Neurology,jacksonsavannah@hotmail.com
35501,Sandra Moody,General Medicine,330-563-0134,16,"Bailey, Pruitt and Collier",Jackson Inc,Orthopedics,chelseaortiz@yahoo.com
53495,Suzanne Williams,General Medicine,+1-446-112-2706,30,Robles Ltd,Robinson LLC,Neurology,tmiller@wheeler.com
895,Kimberly Robinson,General Medicine,001-496-818-5956x867,37,"Clark, Davis and Roberts","Lowery, Holt and Decker",Neurology,veronicakeith@huerta.com
86240,Dominique Rodriguez DVM,Pediatrics,001-600-085-8593,37,"Jackson, Gregory and Weeks",Fisher Group,Cardiology,judith32@gmail.com
89519,Devin Anderson,Pediatrics,001-938-346-2920x751,39,Jones PLC,Gonzales Ltd,Orthopedics,castillowilliam@hotmail.com
85653,Joshua Morris,Neurology,918-358-3899x419,13,Stewart-Larson,Solis Inc,Orthopedics,alibrian@hawkins.info
79332,Roberto Johnson,Pediatrics,613-742-3301,6,Reeves-Brown,Chang-Cortez,General Medicine,vrussell@gmail.com
2450,Stephen Lawson,Orthopedics,686.254.4230x511,34,Martinez-Rose,Dixon-Wells,Neurology,william88@yahoo.com
67811,Brandon Harrison,Pediatrics,(064)855-1626x87977,21,"Watkins, Ellis and Reid","Ibarra, Day and Reid",Neurology,shernandez@gmail.com
60402,Katherine Jensen,Orthopedics,(613)133-5476,28,"Eaton, King and Mcdonald",Cervantes PLC,Cardiology,jessicaflores@torres.com
34310,Stephanie Carroll,Pediatrics,854.665.7105,21,Short LLC,"Washington, Porter and Bowen",General Medicine,joyce49@vincent-mason.com

